,number_of_likes,caption
128,47,Well Elisha and I already knew we are apart of the greatest group of students on the face of the planet at FBCC but this just was a sweet little reminder of how awesome y'all really are! Hidden amongst all of those balloons wasn't a gift card but it was a nice little note that began a little scavenger hunt within our home of marriage advice from some of our high school students. We love you guys and y'all almost had us in tears! We are beyond blessed to be apart of y'all's lives and getting to watch each of you grow in Christ. Thanks for the awesome welcome home!:)
129,21,My dad and I! #throwbackthursday #jasonkelch
130,41,This is what being married to a blogger is like from the mans eyes.. #blogger #whitegirl #birthdaycakefrap
131,16,black and white is always right. @lizbaird @donaldcadenheadlll
132,21,Great valentines gift from @elishaminter :)
133,10,Driving to A&M praying for this weeks set for tomorrow.
134,84,This was by far the sweetest moment for me during our ceremony! Getting to be close to my bride while praying for our marriage. It was all a blur but this moment I can remember crystal clear!
135,20,My gidup tonight.
136,26,"""Instead of causing problems, doctrine and theology rightly applied will solve problems. They inform our minds to win our hearts, so we can love God more accurately and passionately."" -Bob Kauflin. A simple truth but so often forgotten."
137,34,Ready for God to move tonight in service as we welcome in our new 7th graders! See you soon!
138,80,Burnt skin & good friends. Happy Memorial Day y’all 🇺🇸
139,30,Remember that time @lizzy_chapman put tortillas all over my car so I poured my sweet tea all over her?? Yeah that happened today..
140,27,Guy proposed to his girlfriend in our community group this morning! Congratulations!! #sgcg13 #passion2013
141,30,Church wide fellowship!! Love the church :)
142,66,He’s mostly sweet 😎😍#judahbeaukelch
143,13,The Big Piano at FAO Schwartz
144,11,Phil Wickham tonight.. Man what an inspiration!
145,71,You've never truly gone on a date until you've gone on a date with a car seat in the back 😎🤘🏼 #coolparents #datenight #hotwife
146,21,Online Defensive Driving 😩 #nofun #picstitch
147,15,Typical Don.. @donaldcadenheadlll
148,27,Oh it's s'cute @tcelectronic holding it down on my bass setup this morning. #tcelectronic #halloffame #tone #bass #TunedToTC
149,29,Guys meet my bestfriend.
150,9,Bye bye old intake! It's been real..
151,20,#Throwbackthursday with @lizbaird this summer. #lakedays
152,9,College & Career planning! Woot! #excited
153,21,Grillin snake.. #manstuff @evanrios @nannyivester1
154,11,View from our window!
155,64,Most beautiful beach in America I don’t care what you say.. wedding day begins now!! #siempresuarez
156,50,Gummies & a bunny. What else does a kid need??
157,80,I can’t handle this kid in a polo.. probably the cutest thing I’ve ever seen. Also makes me want to go take this kid out on the golf course soon.. 🤔 #judahbeaukelch
158,19,This is how we pre game for the women's retreat! @evanrios and nanny..
159,35,"Homemade breakfast burritos, chocolate milk, my beautiful bride, and our first fire in our fireplace. Nights like these are a small reason of why being married to @elishakelch is so special and living life with her right by my side is such a blessing to me. Thank you for the best 5 months of my life babe:)"
160,19,Bus ride..
161,15,New kick drum head :)
162,27,Had a great time with our students and new 7th graders this morning!! Photo cred @davidbaysinger
163,30,Gumbys is always a great idea beforehand.. But post game is always a beating😖
164,34,Practice time!! @lightofloveband
165,27,Jesse brought me breakfast in bed. He loves me. I love him. Trynhate
166,14,Clay Golden 😍 #mcm #mancrushmonday @clay_golden
167,26,"@davidbaysinger is always trying to sneak up behind me and ""Scare me,"" caught him this time!"
168,38,State Capital with my lovely wife was pretty dang awesome!
169,24,Oh just another one of @jessechaney doodles he leaves me on my Mac.. Love and appreciate this brother soooo much
170,5,Got the Overdrive tonight! Slowly but surely getting there..
171,21,Headed to Passion with Chris!! Missed this man
172,57,
173,28,In other news. @brandonsaiz will be leading tomorrow night!
174,11,On hey @kyle_holman1
175,44,"It was such a bittersweet moment walking in through the doors to this room today. Turning the lights on, sound system on, getting all the little details ready just one last time. For those of you that don't know, tonight is mine and Elisha's last night here serving on staff. We will be moving to ATX to start leading at @continuumministries for college & young adults in the Austin area. We are very sad and also very excited to start this new adventure as a family. So please, come worship with us tonight! We would love to see some old faces one last time! 6:30pm. See you there!"
176,38,My bestfriend Brandon! @brandonsaiz lol
177,32,Bowl hard y'all
178,26,Throwback Thursday with @jessechaney and @powellj
179,49,Bachelor party was a success!! Congratulations @cmsuarezv
180,17,Trying to be professional and get work done and this is what I have to put up with.. Lol @davidbaysinger
181,26,WWF or OCTOBALL? You decide!! #Lockedin2014
182,128,You think you could never love another quite like the first. Until you meet for the first time and that feeling is just the same. Grayson Lewis you are perfect in every way. Thank you Jesus!
183,39,Got to take this beautiful little lady to six flags yesterday :)
184,55,@kyle_holman1 and I match.. Besties for lyfe lol
185,63,We had to stop and take a Royal Gorge hike!
186,16,My baby boy up on the big screen at the cowboys stadium!! @nappie15
187,18,Praying for our preteens as they leave for camp this week!! Can't wait to have the 6th graders promote up this August! @ksummarsell
188,40,Playing together since forever \m/
189,18,Hotel has a star bucks! Score!
190,5,"Allergies are killing me, gonna take a nap while listening to the reveille. Mmmmm good stuff"
191,16,Celebrating with Kayla!! Pt 2. @kaylamarie0902
192,20,Had a great time celebrating Christmas with this beautiful woman's family today:)
193,25,Dash cam! My bros! @_colekelch #goprohero3
194,23,"We keepin things real here at ""White Oak"" Cabin?? With @lightofloveband"
195,17,"Got to hangout with @lizbaird today at the state fair. Play the acronym game, eat some delicious fried foods, watch a killer parade, and enjoy some chicken chicken at canes."
196,14,Tom is my right hand man on Sunday mornings. Love this man!
197,79,We went to a baby shower yesterday.. So we had to dress for the occasion 😎
198,81,Evening walks are becoming more and more fun every time. Love these two goofballs with all I have in me. #stopgrowingup
199,38,Selfie with Byron!! So glad my beautiful fiancé is starting to enjoy the golf life!
200,12,Alright that's it! I'm finished with it!! For now... Ha
201,29,Hey thanks Northstar! ;)
202,28,We r so cool. Love this sweet girl 😘
203,35,Happy birthday this beautiful young woman :) she turned 20 today and I can't wait to spend many more with her!!
204,28,"Thought I'd change things up a bit.. So instead of buying a whole new board, why not paint it?"
205,16,@nappie15 and @donaldcadenheadlll dancing to a thousand years part 2 in the studio..
206,44,May or may not have gone to the lake and enjoyed some nice hammocks with my beautiful fiancé and friends yesterday :)
207,39,Be looking out for the footage we caught today with this baby!! @gopro #wakeboarding
208,30,So awesome having @reidwjohnson and @jacidj lead us in an awesome word about relationships and more! So special having such a wonderful couple lead us to the throne tonight. @continuumministries
209,17,He's happy to see me! Haha
210,19,Hey go buy my good friends band @storylinestx new EP that just released! Iz gud
211,85,Mowing the yard yesterday and my little man had to stop me to hear what dada was listening to 💙
212,36,She was soo excited to get home before me today that she just had to run and beat me to get our mail today for once! :)
213,12,@elja19 Nervous before he goes on stage.. Can you tell? lol
214,35,@elishakelch and I just got our tickets for Passion 2015 in Houston!
215,38,Nobody knew this.. But all of us guys stayed with the nautical theme of the wedding and wore anchor socks. Woah.. Also thanks to @bmatimba for actually taking a picture of this because @kyle_holman1 and I spent way to long setting this up to look cool for a nice photo!
216,42,Happy birthday to this babe! Love you @nappie15 and I'm very happy to call you my bestfriend! Love how Gods bee using you with the youth and in the band!
217,19,Thanks Will
218,26,Unfortunately didn't make it into winter jam last night.. But we got to park next to this awesome post office in Fort Worth.
219,21,First service complete! Come join us at 10:30 for our last Easter service for the weekend at First Baptist Church of Corinth!
220,9,Bubba and Sissie lol
221,57,Happy Father’s Day to the hardest working man I know! This year has been one of the best years of my life having you work here at the church. You’ve taught me so many valuable lessons and skills I will use for the rest of my life. Thanks for being the best dad on the planet!
222,33,I'm so thankful for this girl right here. She has done nothing but point my fiancé towards Christ and has been nothing but the perfect example of what a biblical friendship is too Elisha and I. Thank you for always keeping my head out of my butt and keeping my eyes on The Lord. I couldn't think of a better person to stand up next to Elisha and I when we get married. Lub u @lizbaird
223,35,"3500 pictures later, we decided this was the best one. Love you Blake!!"
224,16,Thanks Trevor Daley! #6days #becomingthekelchs
225,28,Our valentines afternoon :)
226,29,FBCC Student Ministry Christmas Party!! Lots of fun!:)
227,36,I came home to the house smelling wayyyy to good after work. My lovely bride had crockpot chicken tacos simmering all day! And I must say they were dangg goood 👍
228,68,Honey I shrunk the kids.. @elishakelch
229,36,Our view from our cabin! With @lightofloveband
230,33,"My beautiful wife has been working her tail off at her new job the past few weeks being a near ""floater"" teacher for the school she works at. She worked so hard her boss brought her this candy bouquet as a thank you gift. So proud of her and all she does for both of us :)"
231,23,Today >>
232,21,He knows how to roll...
233,34,John Mayer yesterday with these dudes! @dustintarwater and @jessechaney
234,12,Love these bros @jessechaney @chaserecord
235,91,God bless America 🇺🇸
236,24,Floating lanterns at the #husseywedding
237,49,Happy harvest from the Kelchs! #classic #pumpkinpatchin
238,28,Christmas lights!!
239,12,Love these guys
240,9,Snowy day in NYC!
241,85,These two had a blast at the OU vs Texas baseball game. Just a little best friend rivalry!
242,63,"Happy Mother's Day to the lady that holds this family together. Everyday you sacrifice your time, heart, and emotions for the better of our little family. You work harder then anybody I know taking care of us stinky boys. Judah may not be able to say ""Happy Mothers Day"" but you know that with that infectious smile of his that he loves his momma, and we all know he's a mommas boy.. We love you forever more than always beautiful!! :) @elishakelch"
243,66,“Watch this dad!” Famous last words.. 😎😍
244,45,This big boy was having too much fun yesterday on the couch :)
