,number_of_likes,caption
154,15,#quinoa#pilaf#veggies#fish#healthy#floridaawaits#beentoolong
155,35,#brunomars#chillen#otf#dannyboy#miami#latenight#greatday
156,58,#hermitfalls #california #cliffjumping #highaf #zerofucksgiven #livefornow @dearestgeorgie @carealcastro @thatboydanny
157,41,"brunch/ lunch!😁 so today's word was perfect! The chapters in our life do not dictate the story of our life. We may go through hard times, but keep going because you will come out of it better than you were. Our faith should be elevated in troubling times, because that is when God wants us to draw nearer to Him. Praise Him in both the good and the bad. I learned something so manificent today. I need to learn to not live in the good times/things of yesterday, but the blessings that God has in store for me today. He does not want you living in what was but what is. Have you been doing this?
#itisWRITTEN #clc #clclaustin #austin"
158,33,#miami#southbeach#sunny#danny#chillen#bro-T#amazing#vacation
159,33,#defintleyneeded #devotion #26FEB14
160,52,#ukulele #get #lucky #bathroom #acoustics #love #goingout #familyovereverything #trouble #ontheway
161,42,#umamiburger #firstmeal
162,48,#lunch #chipotlewho? #imabouttodivein #iifym
163,50,#clean #eats #day1 #fit #lunch #&dinner #failtoprepare #preparetofail #amazingquote
164,75,"As i sit here and reflect on this past weekend, i am filled with so much joy and love. This youth group has played a vital part of my walk with Jesus. When things are great they are there to celebrate with and when things are rough they are there to lift me up in prayer and encouragement. i knew God was going to show up and do something so great! Lives were changed, chains were broken, addictions were overcome, anger, hurt, frustration, confusion, guilt, shame, and emptiness were all laid at the feet of Jesus. When you can love God and His people through the storms of life, you grow. To choose to say this isn’t it, it’s not over, there is so much more for me means you stand firm in what He has told you and what you know.
This group fight here. This.Is.Us. There will be moments in life where God takes you to the next level. This is it. A group that loves one another no matter what. We show up and lift each other up. We don’t do this alone. God is all about togetherness. I am excited for what God is going to do in all of us and through all of us! Love each and every one of these beautiful and courageous people. #this #is #us"
165,29,#latepost#miss#florida#vacation#southbeach#daddyos#chillin @thatboydanny
166,22,#picstitch#party#lastnight#wewentin#friends#love#onourlevel @velllll @lognfox @blake_lolato
167,46,#Chosh #wedding #lastnight #myfriendsaregreaterthanyours
168,57,#picstitch #sixflags #overtexas #sunday #funday #innout #rollercoasters #family #love #dallas
169,37,#hotyoga #45min #2mirun #15:04 #post4thofjuly #namaste #austin
170,51,#urbanbuddha #mens #fashion #austin #fossil #lion #hand-crafted #luxury (all thanks to my bro @blakelolato) go check out @urbanbuddha.shop to get yours!
171,58,#picstitch #day1 #latepost #vegas #party #family #friends #crazy #day2comingsoon @nixnetwork @thatboydanny @thatgirljehda
172,28,"If you are a young adult in Austin and want to connect with other like minded individuals your age come out on Sundays at 7 for worship and word that is led with your best interest in mind. These are a list of additional events that we will also be doing, so you don't want to miss it! We love you and want to help move you into a deeper relationship with God. Come as you are and know that we have been praying for you. Like all things the hardest thing is showing up, you won't regret it! I know I didn't! #Continuum #clcaustin #youngadults #sundays #7pm"
173,21,#latepost#lastnight#roxy#orlando#goin#vacation#family#greatimes
