,number_of_likes,caption
107,4,My hair >>>>
108,11,"Now that the Olympics are over, I'm catching up on some reading. ☺"
109,2,#brunch #nyc #yum
110,15,1/2 of the crew! @angelicadawn11 oh how I've missed you!! #crewlove
111,74,"Acting like I’m not freezing. 📸 @largeasian .
.
.
#chitown #milleniumpark #basic #lit #worktrip #coldaf #chicago #basic"
112,26,Put on @bbuurrrr woman boots. These look so feminine. #maisonmartinmargiela #boots #rainboots #stupid #idneverwearthese #fashion #style
113,77,"Practice with my niece and nephews. .
.
.
#fam #nephews #niece #love #happy #love #growingup"
114,37,Musing before the Sunday Turn up! #sundayfunday #imwearingthesameclothesfromlastnight #turnup #piano #original
115,21,My dad and I downtown. #atlanta #father #chillin
116,26,Frank Ocean!!! #channelorange #channel #orange #frankocean #frank #ocean #music #concert #live
117,20,In a nutshell😂😂😂😂😂😂 I cannot breathe 😂😂 #comedy
118,42,Having too much fun oucchheeaaa! The snow stopped so now the fun begins. Wind chill is out here -9 degrees and I'm out here in a t-shirt. #thuggin #thuglife #snowday #handstand #nevergrowup #newyork #goodtimes
119,38,#lafamilia
120,43,Olympic Lifts will leave you extremely sweaty. I haven't even even in the sauna yet! #gym #sweat #work #fitness #fit #24hrfitness
121,59,Nike Dri-fit addiction. High socks. Less than 10% body fat. Working my ass off and slowly reaching my goals. #gym #fitness #nike #drifit #workout #hardwork #training
122,69,Sauna after hooping and lifting! Trying to get even more shredded. #flexfriday #fitbody #sauna #gymflow #gymlife #fitness #leanbody #fitsporation #gymspiration #friday
123,59,Dad hats and DBZ! East Village with my brotha. #lit #DBZ #dadhats #NYC
124,55,Just gonna place this right here for y'all. Yes lawd! #peanutbutterjelly #banana #wholewheatbread #heaven #food #foodie #sandwich
125,30,Still my favorite song I've ever written and it's always gonna be relevant. Practicing different melodies before I drop final vocals on this track. #soon #invadingyourspace #musing #invadingyourspace
126,89,"May 3rd. Second single, “Made For Me,” is available errwhere you can think of digitally. @jlpyne1906 On the production. It’s lit. K, BYE!
.
.
.
#RICHARDROBINSONMUSIC #MADEFORME #LoveSongsForNoOne #lit #newmusic #art #issaalbum"
127,19,Nice hair and beard days are the best. #loveyourself #happy #juicesandberries #selfiesonselfies #happytuesday
128,45,"Took this photo walking out of a Whole Foods in Denver with my Nikon. Typically post these on my @shotsbyrar Insta, but I figured I'd share here first .
.
.
#bee #nikon #bestshot #naturephotography #lit"
129,89,Emo in Houston. 'Tis the SZN. #emo #houston #lit #szn 📷 cred. @barygiggers
130,37,My brotha from anotha. Happy birthday!! #texastonyc #nyc #happybirthday
131,48,Personal best on dead lifts tonight!! 405lbs. #beastmode #deadlifts #muscle #gymrat #gymlife #fitfam #fitness #fitspo #weights #gym #heavy #beast
132,50,I lol'd. #fitness #teamfitness
133,120,"Last workout with my buddy today. Had a blast training you the last couple months and getting you fit for your wedding. Totally gonna miss you when you move, B! Much much love!!! .
.
.
#fitness #everdaywelift #lit #24hourfitness #fitnessoflife #muscles"
134,25,You mad bros?!?!? #heatnation #wadenation #miami #heat #champions #nba nbafinals #swag
135,46,TI the KING!!! #sxsw #bet #musicmatters #yahoo #music #austin #atx
136,52,Performance tonight!! Cali
137,21,Singing my little heart out. #houston #jetlounge #myobsessionwithlove #music #2012
138,23,Everyone at the skating rink and then there's me. I think it's safe to say I'm no good at this. #rollerskating #awful #falling #skating
139,40,Independence Day swag!!!!!! #holiday #america #independence #day #swag
140,41,Just peed into this. You know tonight is gonna be a good night😂😂
141,86,Neither can live without me. #bffs #austin #sundayfunday #itslit #sandwich
142,14,Miss these two like crazy. Mom and my little bro! He has a mustache now. Where has the time gone? Ha! #love
143,7,Check out my new song @ https://soundcloud.com/richardrobinsonmusic/mine in honor of Valentines Day and #loveweek. Make this #yoursong #freedownload #musicmonday #mine
144,48,It's 5 o'clock somewhere! #handgrenade #nola #neworleans #drinking #mondayfunday #birthdayweekend #labordayweekend #laborday
145,33,What we do on 26th birthdays. Fun day at the park and the lake with my ninjas @b_smooth_87 and @itsjustinfoo. #race #tumbling #zilkerpark #birthdayfun
146,25,Fuschia pants. I felt on top of the world lol. #gq #gap #clarks #fuschia #austin #downtown #6thstreet
147,47,It's a thugged out Christmas with my realist!!! @bary_giggers #santa #elf #christmas #costumes #thuggin #westsixth #outhere
148,31,When your facial hair has no idea what color it wants to be. Thanks mom and dad for such wonderful genetics that are still so confused at 28. 😂 #saltandpepper #genetics #lit #strugglebeard #blondehair
149,4,Me and the home Maxx
150,19,Fresh cut selfie. #haircut #starbucks #saturday #selfie
151,41,When you feel beautiful after a haircut. #circathelasttimeigotahaircut #carselfie #idontknowwhattodowithmyhands #itwaslitfam 🔥
152,19,"Me definition of ""self-help"" and ""personal development"". #nutrition #fitness #athletic #sports"
153,63,Pretty sweet view to wake up to today. #chitown #chicago #views #lit #chicagoriver
154,69,All about fitness. Making huge progress. Hell yeah. #teamfitness #back #muscles #abs #obliques #gym #workout #fitness #natural #progress
155,34,"My other glasses! Also, my nice hair! 😏 #friday #hair #selfie"
156,178,"Saw this truck flip over on the highway in Georgia. I thank god for giving me the strength, the courage, and the clear mind to help pull two people from this burning truck. I've never been so scared in my life, but I'm glad that I, as well as a couple of others, were in the right place at the right time ti help save two people's lives. #blessings #accident #georgia"
157,60,"Can't let the holidays keep me from staying fit. Besides, today is a gorgeous 80 degree day on my lovely Galveston Island. #tistheseason #beachfit #beachrun #lit #stayfit #Galveston ##gopro #texasweather #healthylifestyle #fitness365 #toomanyhashtags #imsorryforsomanyhashtags #🙃"
158,26,Mom in her teens. So fresh. Now ya'll know where I get it from! #mom #throwback #itainteventhursday
159,32,Deep Squats of 315 lbs. 6times!! #beastmode #squats #fitness #legs #workout #gym #fit
160,43,Kendrick Lamar! #sxsw #spotify #spotifylive
161,45,"Impossible not to take pictures with Christmas lights. GoProing downtown Grand Rapids. It's lit, literally. #grandrapids #michigan #tistheseason #literallylit #snowpro #christmaslights #artfam #lit #christmas"
162,19,Started reading this yesterday and I couldn't put it down. Hilariously funny and accurate. @azizansari dropping gems in this one! #preach #modernromance #accurate #worththe28dollars #goodreads #airportfinds
163,46,People really think she's my daughter. Lol. This is just my adorable little sister. #siblings #notmydaughter #sister
164,224,"Had to see what the hype was about.
.
.
.
#southbeach #worktrip #chasingsunsets #eastcoast #miami #obligatorybeachpic #staylit"
165,50,"Oh you know, just hanging out sideways! Swag me out! #strength #fitness #fit #humanflag #stripperpole #chillin #sittinsideways"
166,30,I laughed so hard. 😂😂😂#niners #superbowl #poweroutage #superdome #ravens
167,47,Instagram modeling in some Bluebonnets. Tis the season. Life's too short not to stop and smell the Bluebonnets or some other cliche saying. #texas #bluebonnetseason #itwaslitfam #instagrammodelalert #spring2016 #
168,51,Dinner tonight because I felt like making salmon. I'm clearly husband material! #dinner #healthyliving #fitnessfoods #healthy #salmon #spinach #avocados #rice #livesoda #kombucha #orange #imawesome
169,29,Someone is sleepy. #zoey #dachshund #puppy #dogsofinstagram #puppylove
170,48,"Up late cooking and prepping meals. I'm beyond tired, but this is important. #foodprep #leandiet #fitness #bakedchicken"
171,52,Game ready!!! About to watch the GMEN on this beautiful day! #lit #Giants #GMEN #Dallas #Cowgirls
172,31,That one time we graduated college with 3.0 GPAs or better and we were so happy that we decided we were never going back! A little gem from super happy times with my brother! Circa 2009! I love this kid. #tbt #throwbackthursday #texasstatealumni #cantbelieveitsbeen6years #timeflies #babyface
173,21,New method of transportation. #schwinn #bicycle
174,5,My cousin and uncle!!! So happy I got to see them. #beachday
175,101,"It’s not a holiday until we give the people what they want. The hottest out. Might submit to @gq .
.
.
#holidaypics #thanksgiving #gq #styling #jodeciback #albumcover #lit #probablygonnamaketheseintochristmascards #staylit #models #oucchheea"
176,3,New shoes #clarks
177,122,"""You Always Hurt Me"" is now live on ITunes, Spotify, Tidal, Google Play and Apple Music. What a time!!!! Take a listen and share!! You all rock! So excited and ready to hear everyone's feedback! Special thank you to everyone who helped create this masterpiece starting with Edwin Rivas- Producer; Sam Betancourt- Co-Producer; Jeremiah McConico-Guitar; Justyn Payne- Engineering, Recording, and Mastering. .
.
.
.
.
#newmusic #youalwayshurtme #try #applemusic #richardrobinsonmusic #itunes #danceparty #firstsingle #singersongwriter #rnb #soul #comingsoon #music #turnup #lit #newalbum #Tidal #Spotify #GooglePlay"
178,31,Missed this little dude here. Baby cousin! #nick #newyork #cousinlove #wehavethesamehair #turnup
